repoistory,bundle,dayu200_tdd_feature,dayu200_weekly_tdd-codearts,arkui_tdd_feature,arkui_tdd-codearts,dayu200_xts_weekly_precise,part_compile,part_compile-codearts,part_compile_tdd,part_compile_tdd-codearts,hispark_pegasus_feature,hispark_pegasus_weekly-codearts,hispark_taurus_LiteOS_feature,hispark_taurus_LiteOS_weekly-codearts,hispark_taurus_Linux_feature,hispark_taurus_Linux_weekly-codearts,ohos-sdk_feature,mac-sdk,hispark_taurus_ark_unittest_feature,hispark_taurus_ark_unittest-codearts,dayu200_feature,dayu200_weekly-codearts,dayu200_xts_feature,dayu200_xts_weekly-codearts,Emulator_feature,Emulator-codearts,LLVM,default,hap_build_feature,TEST_hispark_taurus_Linux_feature,TEST_hispark_taurus_LiteOS_feature,TEST_part_compile,TEST_hispark_taurus_LiteOS_weekly-codearts,TEST_dayu200_weekly-codearts,TEST_dayu200_feature,TEST_Component_compiles
drivers_external_device_manager,@ohos/external_device_manager,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,,N,,,,,Y,Y,
ability_ability_lite,@ohos/ability_ability_lite,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,,N,ability_test_pageAbilityTest_lv0.bin,Y,,ability_test_pageAbilityTest_lv0.bin,,,
ability_ability_runtime,@ohos/ability_ability_runtime,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,,N,,,,,Y,Y,
ability_ability_base,@ohos/ability_ability_base,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,N,,,,,Y,Y,
ability_form_fwk,@ohos/ability_form_fwk,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,,,,,Y,Y,
ability_idl_tool,@ohos/ability_idl_tool,N,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,Y,,,,,Y,Y,
account_os_account,@ohos/account_os_account,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,,,Y,,Y,Y,
applications_dlp_manager,@ohos/dlp_manager,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,,N,,,,,Y,Y,
arkui_ace_engine,@ohos/arkui_ace_engine,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,,N,,,,,Y,Y,
arkui_ace_engine_lite,@ohos/arkui_ace_engine_lite,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,,N,"js_frameworks_tdd_door.bin
js_frameworks_test_arc.bin
js_frameworks_test_cache_manager.bin
js_frameworks_test_console.bin
js_frameworks_test_data_binding.bin
js_frameworks_test_date_time.bin
js_frameworks_test_dfx.bin
js_frameworks_test_dialog.bin
js_frameworks_test_div.bin
js_frameworks_test_event_bubble.bin
js_frameworks_test_horizonprogress.bin
js_frameworks_test_image_path_support.bin
js_frameworks_test_input.bin
js_frameworks_test_input_event.bin
js_frameworks_test_jsbundle.bin
js_frameworks_test_jsfwk.bin
js_frameworks_test_jsiinterface.bin
js_frameworks_test_list.bin
js_frameworks_test_localization.bin
js_frameworks_test_marquee.bin
js_frameworks_test_marquee_event.bin
js_frameworks_test_number_format.bin
js_frameworks_test_opacity.bin
js_frameworks_test_percent.bin
js_frameworks_test_pickerview.bin
js_frameworks_test_radio_switch_width.bin
js_frameworks_test_slider.bin
js_frameworks_test_stylemgr.bin
js_frameworks_test_swiper.bin
js_frameworks_test_switch.bin
js_frameworks_test_text.bin
js_frameworks_test_text_exception.bin
js_frameworks_test_timer.bin",Y,,"js_frameworks_tdd_door.bin
js_frameworks_test_arc.bin
js_frameworks_test_cache_manager.bin
js_frameworks_test_console.bin
js_frameworks_test_data_binding.bin
js_frameworks_test_date_time.bin
js_frameworks_test_dfx.bin
js_frameworks_test_dialog.bin
js_frameworks_test_div.bin
js_frameworks_test_event_bubble.bin
js_frameworks_test_horizonprogress.bin
js_frameworks_test_image_path_support.bin
js_frameworks_test_input.bin
js_frameworks_test_input_event.bin
js_frameworks_test_jsbundle.bin
js_frameworks_test_jsfwk.bin
js_frameworks_test_jsiinterface.bin
js_frameworks_test_list.bin
js_frameworks_test_localization.bin
js_frameworks_test_marquee.bin
js_frameworks_test_marquee_event.bin
js_frameworks_test_number_format.bin
js_frameworks_test_opacity.bin
js_frameworks_test_percent.bin
js_frameworks_test_pickerview.bin
js_frameworks_test_radio_switch_width.bin
js_frameworks_test_slider.bin
js_frameworks_test_stylemgr.bin
js_frameworks_test_swiper.bin
js_frameworks_test_switch.bin
js_frameworks_test_text.bin
js_frameworks_test_text_exception.bin
js_frameworks_test_timer.bin",,,
arkui_napi,@ohos/arkui_napi,N,N,Y,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,,N,,,,,Y,Y,
arkui_advanced_ui_component,@ohos/advanced_ui_component,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,Y,N,N,N,,N,,,,,N,N,
ai_engine,@ohos/ai_engine,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,,Y,,"ai_test_common_door.bin
ai_test_function_door.bin",Y,Y,
applications_app_samples,@ohos/applications_app_samples,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,,Y,,,,,Y,Y,
